id,year,state_name,state_code,cause,gender,number_of_deaths,severity_level,risk_category,decade,age_group
182,2018,Arunachal Pradesh,12,Bankruptcy Or Indebtedness,Transgender,0.0,Low,Financial,2010s,45-59
183,2018,Arunachal Pradesh,12,Causes Not Known,Female,15.0,Low,Psychological,2010s,25-44
184,2018,Arunachal Pradesh,12,Causes Not Known,Male,36.0,Low,Psychological,2010s,25-44
185,2018,Arunachal Pradesh,12,Causes Not Known,Transgender,0.0,Low,Psychological,2010s,25-44
186,2018,Arunachal Pradesh,12,Death Of Dear Person,Female,0.0,Low,Social,2010s,45-59
187,2018,Arunachal Pradesh,12,Death Of Dear Person,Male,0.0,Low,Social,2010s,45-59
188,2018,Arunachal Pradesh,12,Death Of Dear Person,Transgender,0.0,Low,Social,2010s,45-59
189,2018,Arunachal Pradesh,12,Drug Abuse/Alcoholic Addiction,Female,0.0,Low,Health,2010s,18-29
190,2018,Arunachal Pradesh,12,Drug Abuse/Alcoholic Addiction,Male,0.0,Low,Health,2010s,18-29
191,2018,Arunachal Pradesh,12,Drug Abuse/Alcoholic Addiction,Transgender,0.0,Low,Health,2010s,18-29
192,2018,Arunachal Pradesh,12,Failure In Examination,Female,0.0,Low,Educational,2010s,15-24
193,2018,Arunachal Pradesh,12,Failure In Examination,Male,0.0,Low,Educational,2010s,15-24
194,2018,Arunachal Pradesh,12,Failure In Examination,Transgender,0.0,Low,Educational,2010s,15-24
195,2018,Arunachal Pradesh,12,Fall In Social Reputation,Female,0.0,Low,Social,2010s,18-29
196,2018,Arunachal Pradesh,12,Fall In Social Reputation,Male,0.0,Low,Social,2010s,18-29
197,2018,Arunachal Pradesh,12,Fall In Social Reputation,Transgender,0.0,Low,Social,2010s,18-29
198,2018,Arunachal Pradesh,12,Family Problems,Female,1.0,Low,Social,2010s,25-44
199,2018,Arunachal Pradesh,12,Family Problems,Male,2.0,Low,Social,2010s,25-44
200,2018,Arunachal Pradesh,12,Family Problems,Transgender,0.0,Low,Social,2010s,25-44
201,2018,Arunachal Pradesh,12,Ideological Causes/Hero Worshipping,Female,0.0,Low,Psychological,2010s,18-29
202,2018,Arunachal Pradesh,12,Ideological Causes/Hero Worshipping,Male,0.0,Low,Psychological,2010s,18-29
203,2018,Arunachal Pradesh,12,Ideological Causes/Hero Worshipping,Transgender,0.0,Low,Psychological,2010s,18-29
204,2018,Arunachal Pradesh,12,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Female,0.0,Low,Relationship,2010s,18-29
205,2018,Arunachal Pradesh,12,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Male,0.0,Low,Relationship,2010s,18-29
206,2018,Arunachal Pradesh,12,Illegitimate Pregnancy (Other Than Extra Marital Affairs),Transgender,0.0,Low,Relationship,2010s,18-29
207,2018,Arunachal Pradesh,12,Illness (Aids/Std),Female,0.0,Low,Health,2010s,60+
208,2018,Arunachal Pradesh,12,Illness (Aids/Std),Male,0.0,Low,Health,2010s,60+
209,2018,Arunachal Pradesh,12,Illness (Aids/Std),Transgender,0.0,Low,Health,2010s,60+
210,2018,Arunachal Pradesh,12,Illness (Cancer),Female,0.0,Low,Health,2010s,60+
211,2018,Arunachal Pradesh,12,Illness (Cancer),Male,0.0,Low,Health,2010s,60+
212,2018,Arunachal Pradesh,12,Illness (Cancer),Transgender,0.0,Low,Health,2010s,60+
213,2018,Arunachal Pradesh,12,Illness (Insanity/Mental Illness),Female,2.0,Low,Mental Health,2010s,60+
